Data_reportada,Pais,Regiao,Estado,Qtd_Casos
2016-04-02,Brazil,Norte,Rondonia,618
2016-04-02,Brazil,Norte,Acre,375
2016-04-02,Brazil,Norte,Amazonas,1520
2016-04-02,Brazil,Norte,Roraima,44
2016-04-02,Brazil,Norte,Para,771
2016-04-02,Brazil,Norte,Amapa,74
2016-04-02,Brazil,Norte,Tocantins,2893
2016-04-02,Brazil,Nordeste,Maranhao,1202
2016-04-02,Brazil,Nordeste,Piaui,7
2016-04-02,Brazil,Nordeste,Ceara,156
2016-04-02,Brazil,Nordeste,Rio_Grande_do_Norte,640
2016-04-02,Brazil,Nordeste,Paraiba,1060
2016-04-02,Brazil,Nordeste,Pernambuco,333
2016-04-02,Brazil,Nordeste,Alagoas,1479
2016-04-02,Brazil,Nordeste,Sergipe,348
2016-04-02,Brazil,Nordeste,Bahia,25061
2016-04-02,Brazil,Sudeste,Minas_Gerais,6693
2016-04-02,Brazil,Sudeste,Espirito_Santo,1382
2016-04-02,Brazil,Sudeste,Rio_de_Janeiro,25930
2016-04-02,Brazil,Sudeste,Sao_Paulo,1500
2016-04-02,Brazil,Sul,Parana,1540
2016-04-02,Brazil,Sul,Santa_Catarina,62
2016-04-02,Brazil,Sul,Rio_Grande_do_Sul,195
2016-04-02,Brazil,Centro_Oeste,Mato_Grosso_do_Sul,296
2016-04-02,Brazil,Centro_Oeste,Mato_Grosso,16055
2016-04-02,Brazil,Centro_Oeste,Goias,920
2016-04-02,Brazil,Centro_Oeste,Distrito_Federal,233
2016-04-23,Brazil,Norte,Acre,716
2016-04-23,Brazil,Norte,Amapa,127
2016-04-23,Brazil,Norte,Amazonas,2172
2016-04-23,Brazil,Norte,Para,1079
2016-04-23,Brazil,Norte,Rondonia,783
2016-04-23,Brazil,Norte,Roraima,56
2016-04-23,Brazil,Norte,Tocantins,3612
2016-04-23,Brazil,Nordeste,Alagoas,1906
2016-04-23,Brazil,Nordeste,Bahia,34507
2016-04-23,Brazil,Nordeste,Ceara,676
2016-04-23,Brazil,Nordeste,Maranhao,1877
2016-04-23,Brazil,Nordeste,Paraiba,1745
2016-04-23,Brazil,Nordeste,Pernambuco,367
2016-04-23,Brazil,Nordeste,Piaui,75
2016-04-23,Brazil,Nordeste,Rio_Grande_do_Norte,1443
2016-04-23,Brazil,Nordeste,Sergipe,404
2016-04-23,Brazil,Sudeste,Espirito_Santo,1790
2016-04-23,Brazil,Sudeste,Minas_Gerais,9669
2016-04-23,Brazil,Sudeste,Rio_de_Janeiro,32312
2016-04-23,Brazil,Sudeste,Sao_Paulo,2547
2016-04-23,Brazil,Sul,Parana,1847
2016-04-23,Brazil,Sul,Rio_Grande_do_Sul,264
2016-04-23,Brazil,Sul,Santa_Catarina,86
2016-04-23,Brazil,Centro_Oeste,Distrito_Federal,276
2016-04-23,Brazil,Centro_Oeste,Goias,1907
2016-04-23,Brazil,Centro_Oeste,Mato_Grosso,17391
2016-04-23,Brazil,Centro_Oeste,Mato_Grosso_do_Sul,527
2016-04-30,Brazil,Norte,Acre,732
2016-04-30,Brazil,Norte,Amapa,122
2016-04-30,Brazil,Norte,Amazonas,2172
2016-04-30,Brazil,Norte,Para,1249
2016-04-30,Brazil,Norte,Rondonia,783
2016-04-30,Brazil,Norte,Roraima,57
2016-04-30,Brazil,Norte,Tocantins,3264
2016-04-30,Brazil,Nordeste,Alagoas,2206
